PortfolioCode,portfolioname,EQUITY,CORPORATE BONDS,GOVERNMENT BONDS,INVESTMENT FUNDS,MEDIUM TERM NOTES,LAIN2,ASSET
00D96E,00D96ED96002,427500000,0,0,3.14767E+11,90200000000,12849562849,4.18244E+11
00D96F,00D96FD96002,0,0,0,3257073780,4300000000,4600200520,12157274300
00D97A,00D97API002,38429487500,0,0,0,0,415836463.3,38845323963
00D98A,00D98ADR002,0,1.04748E+11,0,0,0,1055135610,1.05803E+11
00D98B,00D98BDR002,0,0,0,0,1.5015E+11,6685851492,1.56836E+11
00D98C,00D98CDR002,28804356600,0,0,0,0,479642233.9,29283998834
00D98D,00D98DDR002,0,0,0,0,2E+11,2067609650,2.02068E+11
00D99A,00D99ABMI02,0,0,7485488219,0,0,2183978526,9669466745
00D99B,00D99BBMI02,9328900000,0,0,0,0,499337770.1,9828237770
00D99C,00D99CBMI02,6051275000,0,1799315850,0,0,1364512359,9215103209
0D100A,0D100APTMO2,0,0,0,0,0,3364289743,3364289743
0D100B,0D100BPTMO2,1599801000,0,0,0,0,80567385.65,1680368386
0D101A,0D101AMG002,0,0,0,0,1.1475E+11,2797785472,1.17548E+11
0D101B,0D101BMG002,0,0,0,0,1.33275E+11,138521735,1.33414E+11
0D102A,0D102AMJR02,30411118900,0,0,0,0,429685211.1,30840804111
0D103A,0D103AAR002,5.13252E+11,0,0,0,0,2254859839,5.15507E+11
0D104A,0D104ATP002,0,13002600000,0,0,0,97567998.53,13100167999
0D10AA,0D10AACD003,0,0,62747958000,0,0,2936525058,65684483058
0D10AP,0D10APCD004,0,46770243256,0,0,0,9399375985,56169619241
0D10AQ,0D10AQCD004,1560521030,0,0,0,0,354471804,1914992834
0D10AR,0D10ARCD004,0,9182111400,0,0,0,1046972875,10229084275
0D10AS,0D10ASCD004,37207089100,0,0,0,0,7564906450,44771995550
0D10AT,0D10ATCD003,0,0,40936399851,0,0,1710581493,42646981344
0D10AV,0D10AVCD003,0,3008429580,20314698245,0,0,5951606840,29274734665
0D10AW,0D10AWCD003,0,11245577200,61180761300,0,0,3586523037,76012861537
0D10AX,0D10AXCD003,5025412440,0,0,0,0,447994047.3,5473406487
0D10AY,0D10AYCD004,0,94474710017,81261636334,0,0,11107701958,1.86844E+11
0D10AZ,0D10AZCD003,0,0,48038265570,0,0,1722119981,49760385551
0D10BB,0D10BBCD003,0,0,0,0,0,10470465560,10470465560
0D10BD,0D10BDCD004,0,34150670570,0,0,0,339320377,34489990947
0D10BE,0D10BECD004,0,0,337648310.7,0,0,46078163.54,383726474.3
0D10BF,0D10BFCD004,0,0,0,0,0,377840456.3,377840456.3
0D10BI,0D10BICD003,12414390000,0,2490935812,0,0,17207589669,32112915481
0D42AA,0D42AADX002,0,2.90009E+11,0,0,0,9514441615,2.99524E+11
0D42AB,0D42ABDX002,0,0,0,0,0,84714239.27,84714239.27
0D54AA,0D54AAYJ002,0,0,50184637700,0,0,2380705292,52565342992
0D54AC,0D54ACYJ002,0,5.09421E+11,0,0,0,14328990884,5.2375E+11
