SENDER,PRICE DATE,PROFIL MI,CODE BASE SEC,SEC DSC,IBPA PRICE,MI PRICE,UPPER PRICE,LOWER PRICE,REASON
IBPA,20180813,BZ002,ASDF04ACN1,OBL BKLJT IV ASTRA SEDAYA FINANCE THP I TH18 SR A,98.996705,98.996700,99.996705,97.996705,
IBPA,20180813,BZ002,ASDF04BCN1,OBL BKLJT IV ASTRA SEDAYA FINANCE THP I TH18 SR B,97.022676,97.022700,98.322676,95.722676,
IBPA,20180813,BZ002,BAFI01A,OBLIGASI I BUSSAN AUTO FINANCE TAHUN 2017 SERI A,99.964012,99.964000,100.964012,98.964012,
IBPA,20180813,BZ002,BAFI01B,OBLIGASI I BUSSAN AUTO FINANCE TAHUN 2017 SERI B,97.612468,97.612500,98.912468,96.312468,
IBPA,20180813,BZ002,BAFI02B,OBLIGASI II BUSSAN AUTO FINANCE TAHUN 2018 SERI B,96.520554,96.520600,97.820554,95.220554,
IBPA,20180813,BZ002,BBIA01C,OBLIGASI I BANK UOB INDONESIA TAHUN 2015 SERI C,101.800000,101.800000,103.100000,100.500000,
IBPA,20180813,BZ002,BBIA01SB,OBLIGASI SUBORDINASI I BANK UOB INDONESIA TH 2014,105.105540,105.105500,106.405540,103.805540,
IBPA,20180813,BZ002,BBIA01SBCN2,OBL SUB BKLJT I BANK UOB INDONESIA TAHAP II TH2017,96.068913,96.068900,97.668913,94.468913,
IBPA,20180813,BZ002,BBKP01SBCN1,OBL SUB BERKELANJUTAN I BANK BUKOPIN THP I TH 2012,101.803173,101.803200,103.303173,100.303173,
IBPA,20180813,BZ002,BBRI01BCN2,OBL BKLJT I BANK BRI TAHAP II TAHUN 2016 SERI B,101.055381,101.055400,102.055381,100.055381,
IBPA,20180813,BZ002,BBRI01BCN3,OBL BKLJT I BANK BRI TAHAP III TAHUN 2016 SERI B,101.044621,102.044600,102.044621,100.044621,
IBPA,20180813,BZ002,BBRI01CCN1,OBL BKLJT I BANK BRI TAHAP I TAHUN 2015 SERI C,102.690146,102.690100,103.990146,101.390146,
IBPA,20180813,BZ002,BBRI01CCN2,OBL BKLJT I BANK BRI TAHAP II TAHUN 2016 SERI C,102.266409,102.266400,103.566409,100.966409,
